Source,Target,Weight
1281669801249775617,1210890516721631233,0
1281669801249775617,1268654112738103307,0
271439132,726365373965152257,0
726365373965152257,946377666,0
726365373965152257,1023945297838452737,0
726365373965152257,206890430,0
726365373965152257,3981402263,0
726365373965152257,1024297365254164480,0
717476046900166657,2398454779,0
2398454779,3360765910,0
2398454779,1209871445708460032,0
2398454779,4471461159,0
2398454779,2912708272,0
2398454779,3012770596,0
2398454779,1105744236186664960,0
2398454779,1138731335969845248,0
2398454779,1964143238,0
2398454779,1264912912872812544,0
2398454779,1316485347790987264,0
2398454779,2966333525,0
2398454779,2795101474,0
2398454779,1128387720374575107,0
2398454779,2149556217,0
2398454779,1419066451,0
2398454779,1326800140779315200,0
1109875812,3373762791,0
3373762791,121904424,0
3373762791,1275826098186653700,0
3373762791,830798897215844352,0
3373762791,1098510534,0
3373762791,2427645005,0
3373762791,787334577287233540,0
3373762791,1172937186813124608,0
3373762791,2963932037,0
3373762791,1267235916,0
3373762791,1318869490646589442,0
3373762791,1124273979076820993,0
3373762791,3024543387,0
3373762791,1305859158533701637,0
542164261,64938887,0
64938887,203311649,0
1287167017888419841,925369992354455552,0
2273280661,161611017,0
921342498,783710695716159489,0
809125377863880704,46375782,0
46375782,1273362924027940872,0
46375782,144937882,0
46375782,1246585162189680641,0
1100120769806389250,301959570,0
2263820423,2381727134,0
2790577429,114111998,0
1017601615,4865214225,0
1050439141777965057,2706899486,0
1101940850454642691,907605985640022019,0
907605985640022019,778611018419343364,0
1384711458,220788261,0
1047788602036506625,12786782,0
12786782,62270168,0
12786782,238451639,0
12786782,1420701362,0
1107112112,1022456532284461058,0
3237437571,1221890496626335749,0
797967686689030145,184486411,0
1022051639270748160,1302494569565741056,0
1155440605956386816,367703310,0
964477365287116800,787692914,0
1154100938182930432,3224878504,0
1243921286,1120251726941102081,0
1252240986413109261,104034000,0
1103117414,376979679,0
276093811,285804058,0
3408280389,596570515,0
1289583925740937216,1337007686483910657,0
1338159400842825730,240211670,0
